vendor,invoice_no,amount,file_hash,created_at
Acme Office Supply,INV-4401,128.40,9b84506b042d6705b90b8ce30230199c89e6be401027595cf1401cf3a236f9df,2026-07-31T01:55:26.237369+00:00
Acme Office Supply,INV-4401,128.40,9b84506b042d6705b90b8ce30230199c89e6be401027595cf1401cf3a236f9df,2026-07-31T01:55:26.237706+00:00
Beta Print Co,BP-902,45,9b84506b042d6705b90b8ce30230199c89e6be401027595cf1401cf3a236f9df,2026-07-31T01:55:26.237716+00:00
Gamma Foods LLC,GF-100,99.99,3bb941d42ccfb831b245abb6f9851e0867e616a3741de525fbcad68f91b88dca,2026-07-31T01:55:26.241601+00:00
Gamma Foods LLC,GF-100,99.99,3bb941d42ccfb831b245abb6f9851e0867e616a3741de525fbcad68f91b88dca,2026-07-31T01:55:26.241862+00:00
Delta Paper,DP-77,77.25,3bb941d42ccfb831b245abb6f9851e0867e616a3741de525fbcad68f91b88dca,2026-07-31T01:55:26.241871+00:00
NotARow,xx,not_number,3bb941d42ccfb831b245abb6f9851e0867e616a3741de525fbcad68f91b88dca,2026-07-31T01:55:26.241874+00:00
Epsilon Tools,ET-12,12.00,3bb941d42ccfb831b245abb6f9851e0867e616a3741de525fbcad68f91b88dca,2026-07-31T01:55:26.241876+00:00
Zeta Services,ZS-1,250.00,1843e5035048eb6eb6f5ea51335185ac6b44544363cbb16434f77abf4d152e79,2026-07-31T01:55:26.245516+00:00
Zeta Services,ZS-2,15.50,1843e5035048eb6eb6f5ea51335185ac6b44544363cbb16434f77abf4d152e79,2026-07-31T01:55:26.245785+00:00
"Weird, Name Inc",W-1,1000.00,dcee0630616e906c0d20639c289da6d62a7fe5756e4aa33a05ecb14df8ccc98d,2026-07-31T01:55:26.249465+00:00
"Weird, Name Inc",W-1,1000.00,dcee0630616e906c0d20639c289da6d62a7fe5756e4aa33a05ecb14df8ccc98d,2026-07-31T01:55:26.249770+00:00
BlankCo,,50,dcee0630616e906c0d20639c289da6d62a7fe5756e4aa33a05ecb14df8ccc98d,2026-07-31T01:55:26.249781+00:00
Ok Co,OK-9,9.99,dcee0630616e906c0d20639c289da6d62a7fe5756e4aa33a05ecb14df8ccc98d,2026-07-31T01:55:26.249785+00:00
Redacted Client A,RC-501,33.33,ac98d265cf596a8ae3cba35b051c860802e033a43d1770a5639be960c99e6705,2026-07-31T01:55:26.253425+00:00
Redacted Client B,RC-502,66.66,ac98d265cf596a8ae3cba35b051c860802e033a43d1770a5639be960c99e6705,2026-07-31T01:55:26.253688+00:00
Delta Paper,INV-PDF-1,77.25,cecc552561df3adb67f5071fb4faf015eef33e57d27687dbf26add5c6cb90623,2026-07-31T01:55:26.412776+00:00
